Zip,geo_x,geo_y
25082,50.0833,14.7667
28002,50.0333,15.0333
28101,50.0589,15.1011
28102,50.0833,15.0833
28103,50.0667,14.9833
28104,50.0489,15.0269
28106,50.0333,14.9167
28107,50.0167,15.05
28121,49.9833,15.2167
28123,50.0167,15.3
28125,50.0386,15.2858
28126,50.0833,15.3667
28127,50.0656,15.3719
28128,50.0738,15.3635
28129,50.1333,15.3833
28130,50.1,15.3
28141,49.9833,15.15
28143,49.95,15.0833
28144,49.95,15.0333
28146,49.9167,14.9667
28151,50.095,15.1942
28161,50,14.9833
28162,49.9667,14.9167
28163,49.9,14.95
28166,49.9667,14.8167
28167,49.9,14.85
28171,50.0667,14.8
28172,50.3333,14.85
28201,50.0667,14.8167
28504,49.95,15.1
28911,50.0833,15.0167
28914,50.1,14.9333
28401,50.0167,15.4
28403,49.9667,15.2833
28404,49.9833,15.2667
28501,49.95,15.2
28502,49.95,15.1667
28503,49.9167,15.0833
28507,49.8333,14.9833
28510,49.8167,15.1
28511,49.8833,15.15
28521,49.8167,15.1833
28522,49.7833,15.1833
28523,49.7333,15.2
28525,49.7833,15.2333
28531,50.0611,15.24
28532,49.9833,15.3
28533,49.95,15.3333
28541,49.9167,15.2333
28542,49.8333,15.25
28543,49.85,15.3
28544,49.8667,15.3167
28545,49.9,15.3167
28546,49.6833,15.7167
28547,49.9167,15.2667
28561,49.9,15.4833
28562,49.8667,15.4667
28563,49.8667,15.4167
28564,49.8,15.4
28565,49.8167,15.35
28571,49.9167,15.4833
28572,49.95,15.4833
28573,50,15.4333
28574,50.0233,15.3522
28575,49.9667,15.4167
28576,49.95,15.4
28601,49.9667,15.5167
38401,49,14.05
27601,50.35,14.4833
27701,50.3667,14.45
27703,50.4167,14.4333
27704,50.3667,14.4
27705,50.35,14.3333
27706,50.3167,14.4
27707,50.3167,14.3333
27708,50.3333,14.3
27711,50.25,14.5333
27713,50.2333,14.6
27714,50.2167,14.65
27715,50.2667,14.55
27716,50.2833,14.6
27721,50.4833,14.55
27723,50.4167,14.55
27724,50.4167,14.55
27731,50.3333,14.5167
27732,50.35,14.5833
27733,50.3667,14.6333
27734,50.4,14.5833
27735,50.4667,14.6
27736,50.4667,14.65
27737,50.3833,14.6667
27738,50.35,14.6833
27741,50.3167,14.5167
27742,50.3,14.4667
27743,50.3167,14.4333
27744,50.3167,14.4
27745,50.25,14.3833
27746,50.2833,14.3333
27751,50.2833,14.3167
27752,50.3167,14.3167
27801,50.2333,14.35
29301,50.4167,14.9667
29306,50.45,14.9667
29307,50.45,14.8833
29401,50.4667,14.95
29402,50.4667,15.0167
29403,50.4667,15.0833
29404,50.3833,15.1
29405,50.4167,15.05
29406,50.4,15
29411,50.5667,15.0167
29412,50.5333,15.1
29413,50.5833,14.9333
29414,50.55,14.95
29415,50.5333,14.95
29421,50.5167,14.75
29423,50.4667,14.8
29424,50.4667,14.7333
29425,50.4833,14.7
29426,50.4167,14.7667
29427,50.4349,14.7575
29428,50.3333,14.8
29429,50.3667,14.8
29430,50.4,14.8167
29431,50.3667,14.8667
29441,50.3667,14.95
29442,50.3333,14.9333
29443,50.2667,14.9167
29445,50.3167,15.0167
29446,50.3833,15.0333
29447,50.35,15.0833
29448,50.3833,15.1
29471,50.3,14.85
29473,50.35,14.85
29474,50.25,14.7833
29475,50.2167,14.7667
29476,50.25,14.7
29477,50.3,14.7333
29478,50.3,14.7333
29479,50.3333,14.7
29501,50.55,14.9167
28802,50.2167,15.1167
28901,50.2667,15.1833
28902,50.2667,15.3667
28903,50.2333,15.35
28904,50.15,15.2333
28905,50.15,15.3167
28906,50.1333,15.25
28907,50.15,15.1833
28908,50.1833,15.3667
28912,50.1292,14.9667
28913,50.1667,15
28915,50.1,14.8167
28916,50.1667,14.8333
28917,50.1667,14.8667
28921,50.2167,14.9333
28922,50.2333,14.8333
28923,50.2333,14.9
28925,50.2333,14.9167
28926,50.2167,14.8
28931,50.2,15.0667
28932,50.2667,15.05
28933,50.2667,15.1
28934,50.3333,15.1833
28935,50.3333,15.1333
28936,50.3,15.0833
28937,50.3,15.05
28941,50.1,15.15
29001,50.2,15.1833
50351,50.2,15.3833
25001,50.1667,14.6833
25063,50.1667,14.55
25064,50.1833,14.5167
25065,50.1833,14.4833
25066,50.1667,14.45
25067,50.1833,14.4167
25068,50.1667,14.3833
25069,50.2,14.4167
25070,50.25,14.45
25072,50.2333,14.4833
25073,50.15,14.5833
25075,50.1667,14.7333
25081,50.1333,14.7333
25083,50.05,14.7333
25084,50.05,14.65
25087,50.15,14.8
25088,50.1667,14.7833
25089,50.0985,14.7364
25090,50.1167,14.7167
25091,50.15,14.6333
25092,50.1167,14.6833
25101,49.9833,14.6167
25162,49.9833,14.7667
25163,49.95,14.6667
25164,49.9333,14.7
25165,49.8833,14.7833
25166,49.9167,14.7333
25168,49.9167,14.5667
25169,49.9167,14.6833
25202,49.9333,14.35
25203,49.9,14.3
25204,49.8667,14.3167
25205,49.85,14.35
25206,49.8833,14.3833
25207,49.85,14.3833
25209,49.8833,14.4333
25210,49.85,14.3
25216,50.0167,14.2333
25217,50.0167,14.25
25218,50.05,14.1667
25219,50.0333,14.2167
25225,50.0167,14.2667
25226,49.9833,14.3333
25228,49.95,14.2833
25229,49.9167,14.25
25230,49.9167,14.25
25231,49.9333,14.3
25241,49.9333,14.4667
25242,49.9833,14.5333
25243,50,14.5667
25244,49.9333,14.5167
25245,49.9,14.4167
25246,49.9333,14.3833
25261,50.1167,14.2167
